2713003112024091706NSE   A1117661-0             000001130670157799NUEVO BANCO DEL CHACO SA                          AR1NACNUS33    0299USBANCO DE LA NACION ARGENTINA                        S1100000000USD0000000003000000029532                                N
2713003112024091706 SE   A1117662-0             000001130670157799NUEVO BANCO DEL CHACO SA                          AR1NACNUS33    0299USMASTERCARD                                          S2900000000USD0000001156700011386173                                N
2713003112024091706 SE   A1117663-0             000001130670157799NUEVO BANCO DEL CHACO SA                          AR1NACNUS33    0299USMASTERCARD                                          S2900000000USD0000000414300004077993                                N
2713003112024091706N     A1317664-0             000001130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B2520240917USD0000000841000007922032                                N
2713003112024091706      A1117665-1             000001130716378515BIOCHACO S.A.S                                    AR1            1007                                                      A1000000000USD0000000841000007922032                                N
2713003112024091706NXS   A1317666-0             000011130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000009840000093461024089EC01000890T                N
2713003112024091706NXS   A1317666-0             000021130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000033040000313862924089EC01001151K                N
2713003112024091706NXS   A1317666-0             000031130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000045060000428068124089EC01001265Z                N
2713003112024091706NXS   A1317666-0             000041130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000032870000312304024089EC01001342M                N
2713003112024091706NXS   A1317666-0             000051130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000018500000175769024089EC01001383R                N
2713003112024091706NXS   A1317666-0             000061130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000033390000317242024089EC01001393S                N
2713003112024091706NXS   A1317666-0             000071130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000031980000303838524089EC01001392R                N
2713003112024091706NXS   A1317666-0             000081130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000032080000304730624089EC01001420J                N
2713003112024091706NXS   A1317666-0             000091130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000033300000316313924089EC01001426P                N
2713003112024091706NXS   A1317666-0             000101130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000033100000314488924089EC01001481Z                N
2713003112024091706NXS   A1317666-0             000111130716378515BIOCHACO S.A.S                                    AR1NACNUS33    0307CLAGRICOLA Y COMERCIAL CAILAHUE SP                    B0120240917USD000000033230000315645124089EC01001497A                N
2713003112024091706      A1117669-0             000001120116499860DIAZ GRACIANO ANGEL REINALDO                      AR1NACNUS33    0299ESTRANSVIA MADRID SL                                  S0600000000USD0000000755500007437066                                N
2713003112024091706      A1317670-1             000001120116499860DIAZ GRACIANO ANGEL REINALDO                      AR1            1099                                                      A1000000000USD0000000755500007437066                                N
